Haplo,Lat,Long,Species
WXY_Haplo11,35.7418,-84.8392,A.appalachiana
WXY_Haplo12,34.9576,-83.1806,A.appalachiana
WXY_Haplo13,30.7114,-89.5553,A. hybrid
WXY_Haplo13,34.25461,-88.704122,A.tecta
WXY_Haplo14,32.4894,-83.9378,A. hybrid
WXY_Haplo15,35.5673,-82.5683,A.appalachiana
WXY_Haplo16,32.4894,-83.9378,A. hybrid
WXY_Haplo17,35.0421,-84.4514,A.appalachiana
WXY_Haplo18,34.2456,-84.6753,A.appalachiana
WXY_Haplo19,35.3827,-83.8623,A.appalachiana
WXY_Haplo19,33.7116,-83.3033,A. hybrid
WXY_Haplo19,32.7734,-81.9227,A. hybrid
WXY_Haplo2,37.627,-89.2087,A.gigantea
WXY_Haplo2,34.149,-84.8443,A.gigantea
WXY_Haplo2,34.1586,-81.946,A.gigantea
WXY_Haplo2,35.4337,-83.4388,A.gigantea
WXY_Haplo2,33.2695,-93.272,A.gigantea
WXY_Haplo2,30.8003,-92.281,A.gigantea
WXY_Haplo2,32.5669,-85.3772,A.gigantea
WXY_Haplo2,33.974784,-83.352673,Unknown
WXY_Haplo20,34.8649,-82.419,A. hybrid
WXY_Haplo21,36.599,-76.5282,A.tecta
WXY_Haplo22,32.5451,-85.3885,A. hybrid
WXY_Haplo23,31.999,-81.2682,A.tecta
WXY_Haplo24,34.5031,-81.8121,A. hybrid
WXY_Haplo3,35.2119,-88.3949,A.gigantea
WXY_Haplo3,32.5426,-84.0184,A.gigantea
WXY_Haplo3,36.2421,-92.7667,A.gigantea
WXY_Haplo3,33.970844,-83.485331,A.gigantea
WXY_Haplo4,33.974784,-83.352673,Unknown
WXY_Haplo5,33.974784,-83.352673,Unknown
WXY_Haplo6,35.1078,-77.0153,A.tecta
WXY_Haplo6,33.974784,-83.352673,Unknown
WXY_Haplo7,33.646,-81.2143,A.tecta
WXY_Haplo8,31.999,-81.2682,A.tecta
WXY_Haplo9,33.974784,-83.352673,Unknown
